*k1	k2	time	date	store
5.000000	7.000000	368.000122	2001-01-02 19:00:00 -0500	99.714409
5.000000	7.000000	369.000183	2001-01-03 19:00:00 -0500	98.039879
5.000000	7.000000	370.000244	2001-01-04 19:00:00 -0500	93.269699
5.000000	7.000000	371.000305	2001-01-05 19:00:00 -0500	84.251579
5.000000	7.000000	372.000366	2001-01-06 19:00:00 -0500	71.329529
5.000000	7.000000	373.000427	2001-01-07 19:00:00 -0500	56.279110
5.000000	7.000000	374.000488	2001-01-08 19:00:00 -0500	41.384350
5.000000	7.000000	375.000549	2001-01-09 19:00:00 -0500	28.461487
5.000000	7.000000	376.000610	2001-01-10 19:00:00 -0500	18.400990
5.000000	7.000000	377.000671	2001-01-11 19:00:00 -0500	11.246892
5.000000	7.000000	378.000732	2001-01-12 19:00:00 -0500	6.534734
5.000000	7.000000	379.000793	2001-01-13 19:00:00 -0500	3.627857
5.000000	7.000000	380.000854	2001-01-14 19:00:00 -0500	1.933313
5.000000	7.000000	381.000916	2001-01-15 19:00:00 -0500	0.993029
5.000000	7.000000	382.000977	2001-01-16 19:00:00 -0500	0.493396
5.000000	7.000000	383.001038	2001-01-17 19:00:00 -0500	0.237891
5.000000	7.000000	384.001099	2001-01-18 19:00:00 -0500	0.111614
5.000000	7.000000	385.001160	2001-01-19 19:00:00 -0500	0.051083
5.000000	9.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
5.000000	9.000000	367.000061	2001-01-01 19:00:00 -0500	99.993629
5.000000	9.000000	368.000122	2001-01-02 19:00:00 -0500	99.740013
5.000000	9.000000	369.000183	2001-01-03 19:00:00 -0500	98.341156
5.000000	9.000000	370.000244	2001-01-04 19:00:00 -0500	94.411827
5.000000	9.000000	371.000305	2001-01-05 19:00:00 -0500	86.582924
5.000000	9.000000	372.000366	2001-01-06 19:00:00 -0500	74.459656
5.000000	9.000000	373.000427	2001-01-07 19:00:00 -0500	59.299652
5.000000	9.000000	374.000488	2001-01-08 19:00:00 -0500	43.518822
5.000000	9.000000	375.000549	2001-01-09 19:00:00 -0500	29.460127
5.000000	9.000000	376.000610	2001-01-10 19:00:00 -0500	18.479422
5.000000	9.000000	377.000671	2001-01-11 19:00:00 -0500	10.806613
5.000000	9.000000	378.000732	2001-01-12 19:00:00 -0500	5.930116
5.000000	9.000000	379.000793	2001-01-13 19:00:00 -0500	3.072824
5.000000	9.000000	380.000854	2001-01-14 19:00:00 -0500	1.512251
5.000000	9.000000	381.000916	2001-01-15 19:00:00 -0500	0.710517
5.000000	9.000000	382.000977	2001-01-16 19:00:00 -0500	0.320173
5.000000	9.000000	383.001038	2001-01-17 19:00:00 -0500	0.138935
5.000000	9.000000	384.001099	2001-01-18 19:00:00 -0500	0.058263
5.000000	9.000000	385.001160	2001-01-19 19:00:00 -0500	0.023686
7.000000	1.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
7.000000	1.000000	367.000061	2001-01-01 19:00:00 -0500	90.438133
7.000000	1.000000	368.000122	2001-01-02 19:00:00 -0500	81.766144
7.000000	1.000000	369.000183	2001-01-03 19:00:00 -0500	73.657944
7.000000	1.000000	370.000244	2001-01-04 19:00:00 -0500	65.501839
7.000000	1.000000	371.000305	2001-01-05 19:00:00 -0500	56.815132
7.000000	1.000000	372.000366	2001-01-06 19:00:00 -0500	47.613449
7.000000	1.000000	373.000427	2001-01-07 19:00:00 -0500	38.363373
7.000000	1.000000	374.000488	2001-01-08 19:00:00 -0500	29.688503
7.000000	1.000000	375.000549	2001-01-09 19:00:00 -0500	22.098867
7.000000	1.000000	376.000610	2001-01-10 19:00:00 -0500	15.864295
7.000000	1.000000	377.000671	2001-01-11 19:00:00 -0500	11.017806
7.000000	1.000000	378.000732	2001-01-12 19:00:00 -0500	7.426052
